PRPF31 SRRM2
PRPF31 RBM39
PRPF31 MEPCE
PRPF31 SRSF11
PRPF31 PDE4DIP
PRPF31 PRPF40A
PRPF31 SRSF3
PRPF31 SNRPD1
PRPF31 EIF4A3
PRPF31 SRRM1
PRPF31 SF3B3
PRPF31 MFAP1
PRPF31 SNRPD2
PRPF31 SNRPG
PRPF31 RBMX
PRPF31 XAB2
PRPF31 PRPF3
PRPF31 CD2BP2
PRPF31 PRPF8
PRPF31 SNU13
PRPF31 PHF5A
PRPF31 PRPF31
PRPF31 SRSF2
PRPF31 CIRBP
PRPF31 RBM8A
PRPF31 CDK12
PRPF31 SRSF6
PRPF31 CDCA7L
PRPF31 CWC15
PRPF31 ZNF587
PRPF31 AGO3
PRPF31 HTATSF1
PRPF31 SNRPC
PRPF31 CALCOCO2
PRPF31 MIPOL1
PRPF31 SRSF5
PRPF31 RBM17
PRPF31 PUF60
PRPF31 LSM4
PRPF31 LUC7L3
PRPF31 ZNF207
PRPF31 THOC7
PRPF31 THOC2
PRPF31 CWC22
PRPF31 PPIE
PRPF31 DDX23
PRPF31 SRSF4
PRPF31 ACIN1
PRPF31 SRSF9
PRPF31 IK
PRPF31 PRPF4B
PRPF31 RBM22
PRPF31 BUD31
PRPF31 TRIR
PRPF31 SF3B6
PRPF31 PPP1R16A
PRPF31 EVI5
PYCR2 SKIL
PYCR2 DUSP14
PYCR2 ALDH4A1
PYCR2 MCC
EGR1 SRF
EGR1 SUMO1
EGR1 JUN
EGR1 SP1
EGR1 CSNK2A1
EGR1 PSMA3
EGR1 EGFR
EGR1 EP300
EGR1 CEBPB
EGR1 TBX2
EGR1 ERBB3
EGR1 SOD1
EGR1 NAB2
EGR1 F3
EGR1 FOSL1
EGR1 PTGES
IQGAP2 MYC
IQGAP2 RAC1
IQGAP2 LRPPRC
IQGAP2 POLR2H
IQGAP2 SKP1
IQGAP2 CDC42
IQGAP2 MCC
IQGAP2 MTIF2
IQGAP2 POLR1D
IQGAP2 AKAP8L
IQGAP2 CALM1
IQGAP2 POLR2L
IQGAP2 UBAC1
IQGAP2 IQGAP2
PAWR HSPA5
PAWR AATF
PAWR SQSTM1
PAWR ATP5F1C
PAWR PAWR
RPN1 NPM1
RPN1 MYC
RPN1 EGFR
RPN1 EEF1A1
RPN1 ARF6
RPN1 HNRNPU
RPN1 HSPA5
RPN1 ILF2
RPN1 NCL
RPN1 ERBB3
RPN1 HNRNPC
RPN1 DHX9
RPN1 RBBP4
RPN1 SNRNP200
RPN1 EBNA1BP2
RPN1 SGTA
RPN1 HSP90AB1
RPN1 FMR1
RPN1 PHB
RPN1 RPS4X
RPN1 SF3B1
RPN1 STAU1
RPN1 CAMLG
RPN1 VDAC2
RPN1 RPN2
RPN1 TECR
RPN1 VDAC3
RPN1 MLEC
RPN1 UPF1
RPN1 IMMT
RPN1 DHX30
RPN1 RPL29
RPN1 RPL18
RPN1 RPL13A
RPN1 SYNCRIP
RPN1 SF3B3
RPN1 RPL10
RPN1 SYNE1
RPN1 RPL26
RPN1 DHX36
RPN1 RPL24
RPN1 DICER1
RPN1 DDOST
RPN1 STT3A
RPN1 RPL7A
RPN1 EIF4A3
RPN1 RPL6
RPN1 RPS6
RPN1 RPL35
RPN1 RPL15
RPN1 TUSC3
RPN1 UBQLN2
RPN1 DAD1
RPN1 RPS8
RPN1 RPL7
RPN1 WSB2
RPN1 RSL1D1
RPN1 MAGT1
RPN1 RPL14
RPN1 GABARAPL2
RPN1 RPL37A
CSAD CDKN1A
CSAD ANXA1
CSAD GOT1
CSAD GOT2
CSAD CDO1
CDS1 NME7
CDS1 TMEM237
CDS1 NME3
CDS1 RETREG3
TPM4 TPM1
TPM4 COX4I1
TPM4 LNX1
TPM4 TRIP6
ICA1L RCOR3
ICA1L DPY30
MRPS27 EEF1A1
MRPS27 HNRNPF
MRPS27 HNRNPU
MRPS27 ILF2
MRPS27 HNRNPC
MRPS27 DHX9
MRPS27 RPL3
MRPS27 HNRNPA1
MRPS27 PHB
MRPS27 MRPS18B
MRPS27 RPS4X
MRPS27 SF3B1
MRPS27 LARP7
MRPS27 ATP5F1C
MRPS27 RPL24
MRPS27 RPS8
MRPS27 RPL7
MRPS27 SYNCRIP
MRPS27 EIF4A3
