TRIM15 CTTN
TRIM15 PXN
TRIM15 RABGEF1
TRIM15 EHMT1
TRIM15 FBLIM1
TRIM15 TRIM15
TRIM15 CORO1B
FABP1 PPARG
FABP1 PPARA
PACSIN2 WASL
PACSIN2 DNM2
PACSIN2 PBX4
PACSIN2 PACSIN2
PACSIN2 COBL
TM4SF4 GJB1
TM4SF4 KCNK5
TM4SF4 FFAR2
TM4SF4 GJB4
FBXW4 RNF32
FBXW4 SLX4IP
SLC22A23 OLFM4
UGT2B7 HNF1A
UGT2B7 CYP3A4
UGT2B7 CYP2C19
UGT2B7 CYP51A1
UGT2B7 UGT1A10
UGT2B7 UGT2B17
CEP126 EPN1
CEP126 YWHAZ
CEP126 HTT
CEP126 FGFR3
CEP126 PIK3R3
CEP126 BARD1
CEP126 HAP1
CEP126 KPNA2
CEP126 GADD45G
CEP126 ING5
CEP126 SUPT5H
CEP126 OFD1
CEP126 KBTBD7
CEP126 CDKN2B
CEP126 TNFRSF14
CEP126 BRD1
CEP126 LRRC1
CEP126 GOLGB1
CEP126 ODF2L
UBE2K NFKB1
UBE2K UBC
UBE2K RNF32
UBE2K REL
UBE2K HTT
UBE2K TRIM39
UBE2K TRIM31
UBE2K NEDD4L
UBE2K UBA1
UBE2K MIPOL1
UBE2K TRIM3
UBE2K TRIM2
UBE2K CBLC
UBE2K LRSAM1
UBE2K RBCK1
UBE2K UHRF2
UBE2K PICK1
UBE2K SH3RF1
SRGAP1 YWHAZ
CCM2L PBX4
ZNF131 FHL2
ZNF131 CBX4
ZNF131 CDK8
ZNF131 EMSY
BDP1 BRF1
BDP1 ZBTB43
JUP FBXW7
JUP ZFYVE9
JUP AXIN1
JUP CTNNB1
JUP ERBB2
JUP PSEN1
JUP FHL2
JUP CTNNA1
JUP CDH1
JUP PKP2
JUP DSG2
JUP DSP
JUP PTPRK
JUP PKD1
JUP LGALS9
JUP CDK5RAP3
JUP GJB1
JUP PTPRF
JUP DSC2
JUP PKP3
PHYHIPL PDE9A
PNLIPRP2 LIPG
PNLIPRP2 MGLL
MVP YWHAZ
MVP TEP1
MVP MVP
MVP RANBP2
INCA1 CDKN1A
INCA1 FHL2
INCA1 NEK6
INCA1 STAMBPL1
INCA1 ING5
INCA1 CLK3
INCA1 OSGIN1
INCA1 NPAS2
INCA1 LENG8
INCA1 CPSF1
INCA1 GEM
INCA1 CDKN2B
INCA1 KIAA1217
INCA1 C19orf54
INCA1 PLA2G10
INCA1 PCSK5
INCA1 HR
INCA1 HYI
INCA1 YOD1
INCA1 LMNTD2
INCA1 INCA1
BCL3 HDAC1
BCL3 JUN
BCL3 CTNNB1
BCL3 NFKB1
BCL3 NFKB2
BCL3 HDAC6
BCL3 UBC
BCL3 NCOA6
BCL3 BARD1
BCL3 N4BP2
BCL3 CTBP2
BCL3 REL
BCL3 GTF2A1
BCL3 MAPK3
BCL3 BCL10
BCL3 RELB
SOX9 FBXW7
SOX9 TRAF2
SOX9 SPEN
FAM83H CSNK1D
FAM83H CSNK1A1
FAM83H CSNK1E
AMH PCSK5
RPL36 RPL31
RPL36 TOP1
RPL36 ILF3
RPL36 CDK5RAP3
RPL36 RPL38
RPL36 TNFRSF14
RPL36 RPS29
TUBA1C FBXW7
TUBA1C PRKCA
TUBA1C TJP1
TUBA1C TUBA4A
TUBA1C TUBB4B
TUBA1C TUBB3
GNL2 JUN
GNL2 USP36
EML2 REL
EML2 NEK6
EML2 IFT88
ITPRID2 YWHAZ
STON2 EHD1
STON2 STON2
PRKCD LMNA
PRKCD SQSTM1
