PLEKHF2 RPS21
PLEKHF2 ANO9
TJP2 HGS
TJP2 SH3KBP1
TJP2 YWHAZ
TJP2 CTNNA1
TJP2 SFN
TJP2 TJP1
TJP2 OCLN
TJP2 CGN
CDK19 PAK1
CDK19 MED24
CDK19 MED16
CDK19 MED13
CDK19 MED15
CDK19 MED29
CDK19 MED18
CDK19 MED11
FOS JUN
FOS CSNK2A1
FOS MAPK7
FOS LMNA
FOS CCND1
FOS HSP90B1
FOS APP
FOS LRRC59
FOS SMAD3
FOS BCL3
FOS HNF1A
FOS ATF4
FOS JUND
FOS ETS2
FOS FOSL1
FOS MAZ
FOS DDIT3
FOS BTBD10
FOS NAT1
FOS GTF2F1
FOS PKP2
FOS MT-ND2
FOS WEE1
FOS KDM2A
FOS PNN
FOS TMSB10
FOS XBP1
FOS PRAP1
FOS GTF2F2
FOS VDR
FOS RPS11
FOS EDN1
FOS FOSL2
FOS FOS
FOS MAPK3
FOS MAPK13
FOS ATP5ME
FOS GNL2
FOS EDF1
FOS EPHB2
FOS TLN2
FOS RPS6KA1
FOS GOLM1
FOS CEBPG
FOS CCDC120
USP2 MDM2
USP2 CTNNB1
USP2 CCND1
USP2 RABEP1
USP2 UBC
USP2 BCAR1
USP2 TRAF2
USP2 MALT1
USP2 HOOK2
USP2 NDEL1
USP2 UBB
USP2 CEP70
USP2 HOOK1
USP2 PICK1
USP2 SORBS3
USP2 MRPL28
USP2 TAX1BP1
USP2 USP54
USP2 CCDC88B
USP2 OPTN
USP2 PRR5L
USP2 GRB7
USP2 VPS28
USP2 ASPG
USP2 CRACR2B
USP2 S100A10
TRIB1 CEBPA
LARP1B SNRNP70
LARP1B MRPL28
LARP1B RBBP8NL
FNBP4 PLXNA2
MAST2 YWHAH
MAST2 TRAF2
MAST2 DYNLL1
MAST2 CDHR2
TFF3 PCBD1
TFF3 TFF3
FAM162A HSP90AA1
FAM162A VDAC2
C1orf116 HOMER1
CHN2 ERBB3
SCX SOX9
SLIRP PICK1
VDR TDG
VDR JUN
VDR CSNK2A1
VDR TAF11
VDR CLASRP
VDR SMAD3
VDR PPARG
VDR POLR2A
VDR SNW1
VDR ACTN4
VDR MED13
VDR MED16
VDR MED24
VDR PPP1CC
VDR VDR
VDR HR
VDR GTF2B
VDR BAG1
VDR NRIP1
VDR GNPAT
VDR ANKRD11
VAMP8 YWHAH
VAMP8 PNN
VAMP8 STX3
SPICE1 OFD1
DUSP5 MAPK3
ZNHIT1 MYO5B
ZNHIT1 TNIP1
ZNHIT1 BRD8
ZNHIT1 PLSCR4
PPP1R1B CSNK2A1
NDUFS6 NDUFA13
NDUFS6 FGFR3
NDUFS6 MT-ND2
NDUFS6 NDUFB9
NDUFS6 NDUFS4
NDUFS6 CYC1
NDUFS6 NDUFA2
NDUFS6 NDUFA12
NDUFS6 NDUFB10
NDUFS6 NDUFA5
NDUFS6 NDUFB7
NDUFS6 NDUFB4
NDUFS6 NDUFS7
NDUFS6 NDUFV3
NDUFS6 MT-ND4
NDUFS6 NDUFA1
NDUFS6 NDUFA3
NDUFS6 UQCRQ
NDUFS6 NDUFB3
NDUFS6 MT-ND4L
NDUFS6 UQCR10
NDUFS6 MT-ND6
NDUFS6 NDUFC1
NDUFS6 UQCR11
NDUFS6 ETFDH
NDUFS6 UQCRH
NDUFS6 MT-ND1
NDUFS6 MT-CYB
NDUFS6 UQCRC1
NDUFS6 NDUFB2
NDUFS6 NDUFB1
CEP83 ATF4
CEP83 YES1
CEP83 CEP83
SHOC2 KRAS
SHOC2 PPP1CC
SHOC2 NRAS
EZR MDM2
EZR CTNNB1
EZR ERBB2
EZR PTK2
EZR YWHAZ
EZR TNFRSF1A
EZR DLG1
EZR CDH1
EZR S100P
EZR CFTR
EZR AHNAK
EZR EZR
EZR PLS1
EZR MISP
EZR PRKCI
EZR SGK1
EZR CASP10
EZR BID
EZR PHLPP2
EZR ADORA2B
EZR CLIC5
EZR TNFRSF10B
CTSZ PLSCR1
CTSZ NOTCH2NLA
CTSZ CTSZ
CTSZ NBPF19
ZDHHC5 KRAS
ZDHHC5 NRAS
GGT7 MALL
EHF ELF3
SLC22A18AS DTX2
MYL6 EWSR1
MYL6 TNFRSF1A
MYL6 ANXA2
MYL6 YBX1
MYL6 HSP90AA1
MYL6 VCL
MYL6 MYH14
MYL6 RPS24
MYL6 VDAC3
MYL6 RPS18
MYL6 VDAC2
MYL6 DDX3X
MYL6 RIPK3
MYL6 EIF6
MYL6 RPS19
HSPB1 CSNK2A1
HSPB1 PRKCD
HSPB1 CALR
HSPB1 TSC22D1
HSPB1 YWHAZ
HSPB1 HSP90AA1
HSPB1 SNW1
HSPB1 PRKG1
HSPB1 PRKCI
HSPB1 PRKCZ
HSPB1 SQSTM1
HSPB1 CFTR
HSPB1 HSPB1
HSPB1 FTH1
HSPB1 FKBP4
HSPB1 IGBP1
HSPB1 TES
HSPB1 IGSF21
HSPB1 SAP18
HSPB1 CYCS
LCOR HDAC1
LCOR HDAC6
LCOR CTBP2
LCOR CEP70
LCOR KLF6
LCOR RREB1
LCOR RCOR1
LCOR ZNF217
GPM6A CREB3
NFKBIE MAPK7
NFKBIE HSPA5
NFKBIE HSP90AA1
NFKBIE JUP
NFKBIE RELB
NFKBIE ARHGEF2
NFKBIE SPAG9
NFKBIE PPP6R2
NFKBIE SFPQ
NFKBIE NFKBIE
NFKBIE ANKRD17
NFKBIE UACA
NFKBIE TNIP1
VAV2 ERBB2
VAV2 ERBB3
VAV2 TOM1L1
VAV2 ABI1
VAV2 EPHB2
VAV2 NEK3
VAV2 VAV2
ZNF440 CSNK2A1
ZNF440 CARD10
ZNF440 XBP1
ZNF440 NOTCH2NLA
ZNF440 NBPF19
EDF1 JUN
EDF1 PPARG
EDF1 NR5A2
SLC16A3 BSG
SLC16A3 HPCA
SDCBP2 ARF4
SDCBP2 SREK1IP1
SDCBP2 ADAP1
SDCBP2 ZCCHC10
SDCBP2 YTHDC1
SDCBP2 SYT17
SDCBP2 BEND7
SDCBP2 C1orf35
SDCBP2 PAFAH1B3
SDCBP2 SDCBP2
SDCBP2 NPM2
SDCBP2 PTMS
SDCBP2 CHCHD1
YBX1 EZH2
YBX1 UBC
YBX1 LRRC59
YBX1 SMAD3
YBX1 YWHAZ
YBX1 ANXA2
YBX1 RPL31
YBX1 MEPCE
YBX1 RPS6KA1
YBX1 BIRC3
