TUBA1C TUBA4A
TUBA1C TUBB4B
TUBA1C TUBB3
SERPINB2 PLAU
SERPINB2 SERPINB2
COL17A1 ACTN4
COL17A1 KRT18
COL17A1 DST
COL17A1 ITGB4
COL17A1 DSP
COL17A1 PPL
COL17A1 LAD1
COL17A1 COL17A1
ZNF653 LONRF1
EML2 RFC5
EML2 SNX32
ITPRID2 YWHAG
ITPRID2 YWHAZ
ITPRID2 YWHAE
ADH7 ALDH7A1
ADH7 ALDH1A1
ADH7 ALDH1A3
ADH7 ALDH3A1
ADH7 ADH7
PLPP2 UNC119
PLPP2 NSG1
PLPP2 TRAM1L1
ARNT2 LMO4
ARNT2 ARNT2
ARNT2 AP3M1
TXNL4B BHLHE40
OXER1 HNRNPH1
OXER1 CRYBA2
OXER1 NCS1
STON2 SYT1
STON2 STON2
ALDH1A1 LDHA
ALDH1A1 ALDOC
ALDH1A1 ALDH1A1
ALDH1A1 CNDP1
STYXL1 TGFBR1
STYXL1 EHD4
CYSTM1 GLP1R
CYSTM1 BAG3
PHLPP1 BTRC
PHLPP1 PHLPP2
PHLPP1 DMWD
TMEM213 MAT2A
TMEM213 MAL
DAPP1 ERBB3
DAPP1 MIF
CEP170B TRIP13
RASSF10 TP53BP2
RASSF10 CCDC183
RASSF10 TNNI3
MIB2 BCL10
RIPPLY2 SYNE4
RIPPLY2 GOLM1
LIMA1 YWHAG
LIMA1 YWHAZ
LIMA1 CDH1
LIMA1 TES
ZNF326 MDM2
ZNF326 HNRNPU
ZNF326 HSP90AB1
ZNF326 MATR3
ZNF326 EIF4A3
ZNF326 RC3H1
ZNF326 DIMT1
ZNF326 DLX4
ZNF326 POLR1C
ZNF326 DDX47
ZNF326 TEX10
ZNF326 KHDRBS3
MT-ND3 MT-CYB
RAB25 TGFBR1
RAB25 MYO5B
RAB25 RAB11FIP1
RAB25 RAB25
GADD45A MDM2
GADD45A CDKN1A
GADD45A LMO4
GADD45A GADD45A
GADD45A TLE1
GADD45A PTN
GADD45A GADD45B
GADD45A SYNE4
GADD45A CENPB
GADD45A CDAN1
PLCB4 PLCB1
PLCB4 INPP5J
PLCB4 DGKH
PLCB4 PLCD4
PLCB4 DGKG
PLCB4 PLCH2
PLCB4 ITPKC
PLCB4 PLCH1
GDA DLG4
GDA DLG1
GDA DLG3
GDA PNP
ADAMTSL3 MDFI
ADAMTSL3 KRTAP3-2
PDE1C ADCY5
PDE1C GUCY1A1
SIX1 MDFI
SIX1 TLE1
SIX1 SIX1
TP73 MDM2
TP73 MYC
TP73 TP63
TP73 SMAD3
TP73 PAX6
TP73 CEBPZ
TP73 CCNE1
TP73 CCNA2
TP73 TP73
TP73 TP53BP2
TP73 SPSB1
TP73 PIWIL1
TP73 N4BP2
TP73 PPP1R13L
TP73 MYL9
TMCC2 HSPD1
TMCC2 CCDC33
TMCC2 AMOTL2
TMCC2 ZNF417
TMCC2 TMCC2
EIF4E KANK2
EIF4E MYC
EIF4E EIF4E
EIF4E INTS6
MT-CYB MT-CO2
MT-CYB MT-ND2
MT-CYB NDUFV2
MT-CYB MT-ND1
MT-CYB MT-ND6
MT-CYB NDUFA7
MT-CYB MT-ND5
MT-CYB COX7A2
MT-CYB MT-ND4
MT-CYB MT-CO1
MT-CYB MT-CO3
MT-CYB COX7A1
MT-CYB MT-ND4L
CSNK1G2-AS1 CRX
CSNK1G2-AS1 MDFI
WASL EGFR
WASL CTTN
WASL CRK
WASL ACTG1
WASL ABI2
WASL BAIAP2
WASL WIPF2
WASL RHOJ
WASL DNMBP
WASL HSP90AB1
WASL ITGA2
WASL HSP90AA1
WASL SH3RF1
WASL SORBS2
ITGB4 YES1
ITGB4 MDFI
ITGB4 EIF6
ITGB4 SDC1
ITGB4 DST
ITGB4 CLCA2
ITGB4 CD9
ITGB4 TGM1
ITGB4 KRTAP17-1
TRERF1 ESRRG
KIF6 KRT15
POLR3D HSPA8
POLR3D MSX2
POLR3D POLR1C
POLR3D POLR1D
FOXC1 PITX2
FOXC1 PPP2CB
FOXC1 PPP2R2A
ANKS1B EGFR
ANKS1B UBC
ANKS1B ITGB1
ANKS1B ERBB4
DAPL1 FHL2
DMD ALB
DMD KRT8
DMD KRT19
DMD SNTA1
DMD DMD
DMD SNTG1
EIF4A3 YWHAG
EIF4A3 ALB
EIF4A3 HNRNPU
EIF4A3 YWHAZ
EIF4A3 PDCD4
EIF4A3 HSP90AB1
EIF4A3 MATR3
EIF4A3 HNRNPH1
EIF4A3 DLX4
EIF4A3 POLR1C
EIF4A3 SNRPG
EIF4A3 DIMT1
EIF4A3 TEX10
EIF4A3 THOC3
EIF4A3 DDX47
EIF4A3 DDIT4L
EIF4A3 CNKSR3
PIWIL1 TP63
DENND2C YES1
BCL2L2 MUC1
BCL2L2 BIK
BCL2L2 HRK
BCL2L2 PMAIP1
BCL2L2 G0S2
BCL2L2 SLC39A6
BCL2L2 SLC39A2
BCL2L2 PSCA
BCL2L2 CLDN7
WEE1 YWHAG
WEE1 SMAD3
WEE1 YWHAZ
WEE1 CRK
WEE1 ERRFI1
WEE1 BTRC
WEE1 SFN
WEE1 CASP3
WEE1 BRSK1
WEE1 BRSK2
NOMO1 TRIM63
NOMO1 TOM1L1
NOMO1 NOMO1
SPOCK1 BCL2L13
MTURN UBC
MTURN TP53BP2
MTURN SH3RF1
MTURN TRIM39
PI3 EVPL
PI3 CSTA
DMWD ALB
DMWD S100A8
ITGA3 ITGB1
ITGA3 CALR
ITGA3 FHL2
ITGA3 TGM2
ITGA3 CD9
ITGA3 ITGA3
DPYSL4 SH3GL2
DPYSL4 TRIP13
TUBB3 CDKN1A
TUBB3 TF
TUBB3 TUBA4A
TUBB3 ROBO1
TUBB3 CAMSAP3
TUBB3 SPTSSA
TUBB3 STUM
TDRD6 MAPK6
EVA1A SAT1
EVA1A PTN
INAVA BTRC
INAVA SFN
PITX2 CTNNB1
PITX2 PITX2
PITX2 MSX2
PITX2 OIP5
TUBB1 HSPA8
TUBB1 HNRNPU
TUBB1 HSPA5
TUBB1 YWHAZ
TUBB1 TOP1
TUBB1 TUBA4A
TUBB1 HSPA2
TUBB1 PSMA2
TUBB1 PSMD11
TUBB1 PSMD12
TUBB1 DYNC1I1
TUBB1 DDX21
LRIF1 TGIF1
LRIF1 CDKN1A
LRIF1 CALR
LRIF1 APLP1
LRIF1 TSC22D1
LRIF1 FHL2
LRIF1 FOSL2
LRIF1 RFC5
LRIF1 BMI1
LRIF1 FEZ1
LRIF1 WDR62
LRIF1 UNC119
LRIF1 PLEKHA4
LRIF1 ANXA1
LRIF1 EIF6
LRIF1 SAT1
LRIF1 PSMD11
LRIF1 MRPS6
LRIF1 MOB4
LRIF1 ATP1B1
LRIF1 PNP
LRIF1 BOC
LRIF1 HSPE1
LRIF1 LRIF1
LRIF1 S100A8
LRIF1 SUV39H2
LRIF1 SULT1E1
LRIF1 POLR1C
HRH1 IL6
PPP1R1A PPP1R15A
AQP5 MDFI
AQP5 BCL2L13
AQP5 AQP5
CNTN1 ANK3
CNTN1 L1CAM
CNTN1 MAPK6
CNTN1 TNR
CNTN1 SCN1B
CNTN1 PRNP
CNTN1 CNTN1
EIF6 ARF6
EIF6 FHL2
EIF6 ANXA2
EIF6 ACTG1
EIF6 SORBS1
