CLPS PNLIP
PSMC1 HSPA8
PSMC1 VCP
PSMC1 COPS2
PSMC1 ZBTB8A
PSMC1 HSPA5
PSMC1 TRAF6
PSMC1 CBL
PSMC1 SEM1
PSMC1 PSMA7
PSMC1 PSMD2
PSMC1 PSMA6
PSMC1 HSPA1A
PSMC1 BAG1
PSMC1 RAD23A
PSMC1 TOPORS
PSMC1 PSMC6
PSMC1 PSME2
PSMC1 HSPA2
PSMC1 PSMC5
PSMC1 PSMD4
PSMC1 PSMC3
PSMC1 PSMC4
PSMC1 MEOX2
PSMC1 CCDC85B
PSMC1 LNX1
PSMC1 PSMB9
PSMC1 PSMB5
PSMC1 PSMD13
PSMC1 PSMC2
PSMC1 PSMD7
PSMC1 PSMA2
PSMC1 PSMD1
PSMC1 PSMD11
PSMC1 PSMD12
PSMC1 PSMB1
PSMC1 PSMB7
PSMC1 PSMB2
PSMC1 PSMB3
PSMC1 PSMA4
PSMC1 PSMB8
PSMC1 ADRM1
PSMC1 TXNL1
PSMC1 PSMC1
PSMC1 PSMB4
PSMC1 TNFRSF10D
PSMC1 HLA-B
PDAP1 MEF2D
PDAP1 PDGFB
PDAP1 PDGFA
PREX2 SMAD2
PREX2 HUWE1
ENPP2 RFK
ENPP2 CMAS
ENPP2 DUT
TEX264 ARL13B
TEX264 GABARAPL2
TEX264 EMP1
TEX264 TM4SF18
TEX264 TSPAN12
NCOA3 MAPK8
NCOA3 SMAD4
NCOA3 CREBBP
NCOA3 SUMO1
NCOA3 RARA
NCOA3 RELA
NCOA3 JUN
NCOA3 NR3C1
NCOA3 EP300
NCOA3 NCOA1
NCOA3 CCND1
NCOA3 UBC
NCOA3 SMAD3
NCOA3 ANKRD11
NCOA3 IKBKB
NCOA3 PPARG
NCOA3 SMAD2
NCOA3 SPOP
NCOA3 CSNK1E
NCOA3 PSMC5
NCOA3 PSMB9
NCOA3 CTDSPL2
NCOA3 PRKACA
NCOA3 YWHAH
NCOA3 DDX17
NCOA3 DDX5
NCOA3 BCL3
NCOA3 KANK2
NCOA3 YWHAQ
NCOA3 SMARCC2
NCOA3 NR5A2
NCOA3 RO60
NCOA3 NR1H3
NCOA3 ARID1B
NCOA3 CSNK1D
NCOA3 BMP6
NCOA3 NCOA3
NCOA3 NR1H2
NCOA3 SMARCE1
NCOA3 RXRB
NCOA3 RARB
DUSP7 MAPK8
DUSP7 EGLN3
CTNND1 SUMO2
CTNND1 CTNNB1
CTNND1 MYC
CTNND1 KRAS
CTNND1 YWHAG
CTNND1 GSK3B
CTNND1 VCP
CTNND1 CTNNA1
CTNND1 CTTN
CTNND1 FYN
CTNND1 ACTG1
CTNND1 ERBIN
CTNND1 NRAS
CTNND1 CDH5
CTNND1 PTPRM
CTNND1 PLPP3
CTNND1 YES1
CTNND1 WDR48
CTNND1 SQSTM1
CTNND1 FER
CTNND1 CTNND1
CTNND1 CDH24
ANP32B CSNK2A1
ANP32B SMAD2
ANP32B PRKAR1A
ANP32B TNIP2
ANP32B ELAVL1
ANP32B KPNA6
ANP32B SDCBP
ANP32B KPNA1
ANP32B MEOX2
ANP32B BEND7
ANP32B YAF2
ANP32B MYNN
ARHGAP29 AKT1
ARHGAP29 RAP2A
ARHGAP29 CDC42
LIMK2 GSN
LIMK2 CFL1
LIMK2 HSP90AA1
LIMK2 ROCK1
LIMK2 ROCK2
LIMK2 NF1
LIMK2 HIPK3
LIMK2 CDC42BPA
LIMK2 DSTN
CAMK2D CREBBP
CAMK2D BANP
CAMK2D MYC
CAMK2D HES1
CAMK2D CREB1
CAMK2D POLR2A
CAMK2D ANKRD28
CAMK2D VIM
CAMK2D NONO
CAMK2D HSF1
CAMK2D ATP2A2
CAMK2D STIP1
CAMK2D PEA15
CAMK2D PPP1R14A
CAMK2D CFL2
CAMK2D FNDC3B
CAMK2D CAMK2D
PPP1R14B ROCK2
PPP1R14B ILK
HSPA1A MAP3K3
HSPA1A RELA
HSPA1A SUMO2
HSPA1A RBX1
HSPA1A PSMA3
HSPA1A NR3C1
HSPA1A NFKB1
HSPA1A CDK9
HSPA1A NFKB2
HSPA1A TRIM24
HSPA1A HSPA8
HSPA1A SHC1
HSPA1A HSPD1
HSPA1A YWHAG
HSPA1A YY1
HSPA1A PTMA
HSPA1A ATXN3
HSPA1A BAG6
HSPA1A HSPA5
HSPA1A TRIM25
HSPA1A ARRB1
HSPA1A YWHAQ
