MORN4 MAGI2
MORN4 DNAJC9
LRTM1 MAL
CDK2AP1 CSNK2B
CDK2AP1 CCDC136
CDK2AP1 RBBP4
CDK2AP1 MRFAP1L1
CDK2AP1 GATAD2A
CDK2AP1 MTA3
CDK2AP1 SPG21
CDK2AP1 ATPAF2
BCCIP CSNK2B
BCCIP EIF6
BCCIP PTN
BCCIP ZNF19
BCCIP ZNF138
BCCIP RPL38
NR2E3 NCOR1
NR2E3 RBBP4
NR2E3 CRX
NR2E3 DHX30
NR2E3 NR1D1
CIT DLG4
CIT RHOC
CDK19 SMARCA4
CDK19 MED28
CDK19 MED24
CDK19 MED10
CDK19 MED8
RPS6KA2 MAPK1
RPS6KA2 CSNK2B
RPS6KA2 PRKCA
RPS6KA2 MAPK3
RPS6KA2 MAGI1
RPS6KA2 SHANK1
RPS6KA2 PSD3
PIK3R2 YWHAQ
PIK3R2 PIK3R1
PIK3R2 MED28
PIK3R2 PTEN
PIK3R2 TRIM23
PIK3R2 BECN1
PIK3R2 PDK2
PIK3R2 PNISR
PIK3R2 MRFAP1L1
PIK3R2 TRIM8
PIK3R2 WASF3
PIK3R2 EGF
USP2 RABEP1
USP2 TRAF6
USP2 CCDC136
USP2 CRY1
USP2 TRIM23
USP2 DTX3
USP2 NEFL
USP2 MTUS2
USP2 UBB
USP2 LONP1
USP2 BEND5
USP2 BEGAIN
USP2 HOOK1
USP2 CCDC85B
USP2 PIBF1
USP2 SORBS3
USP2 ABI2
USP2 TAX1BP1
USP2 BIRC7
USP2 JAKMIP1
USP2 CEP63
USP2 EXOC5
USP2 ATN1
USP2 VPS28
USP2 CADPS
USP2 MORN5
CUL1 RBX1
CUL1 HIPK2
CUL1 FBH1
CUL1 YWHAG
CUL1 UBE2M
CUL1 COPS5
CUL1 HSPA4
CUL1 DDB1
CUL1 TRAF6
CUL1 KPNA2
CUL1 YBX1
CUL1 HSP90AA1
CUL1 RPS7
CUL1 RUVBL1
CUL1 SKP1
CUL1 ERCC4
CUL1 RNF7
CUL1 CAND1
CUL1 COPS8
CUL1 COPS6
CUL1 FBXO11
CUL1 PSMA2
CUL1 GPS1
CUL1 COPS4
CUL1 CUL1
CUL1 UBXN7
CUL1 GLMN
CUL1 NEDD8
CUL1 FBXO2
CUL1 FBXO17
CUL1 COPS7A
CUL1 FBXO9
CUL1 FBXL15
CUL1 FBXO22
CUL1 FBXL14
CUL1 COPS9
CUL1 FBXW4
CUL1 CRY1
CUL1 FBXO34
CUL1 CUL4B
CUL1 EEF1A2
CUL1 RPL26
CUL1 RPL9
CUL1 THRA
CUL1 UBA1
CUL1 PFDN2
CUL1 POLR2L
CUL1 SUMO3
CUL1 ARHGEF4
CUL1 UBA3
CUL1 NR1D2
CHD9 PPARA
BACH1 USP7
BACH1 TCF4
BACH1 PATZ1
BACH1 BACH1
BACH1 FBXO22
CDON CDH2
AKIRIN2 CCDC85B
AKIRIN2 SORBS3
AKIRIN2 SPG21
AKIRIN2 AKIRIN2
GPSM1 USP9X
GPSM1 DCAF11
GPSM1 KANK2
GPSM1 GPSM1
GPSM1 VEZF1
ANKRD33 KLHL42
ANKRD33 HPCAL4
CAMSAP2 YWHAG
FKBP3 CSNK2B
SCX TCF4
SLIRP TRAF6
SLIRP MTUS2
